0.25	2.38e-06	123.6
0.26	6.14e-06	255.4
0.27	6.44e-06	395.3
0.28	6.83e-06	540.2
0.29	4.79e-06	687.1
0.3	6.07e-06	837.7
0.31	5.01e-06	993.2
0.32	9.73e-06	1149.9
0.33	5.45e-06	1312.4
0.34	7.93e-06	1483.7
0.35	2.063e-05	1656.0
0.36	3.687e-05	1835.0
0.37	2.656e-05	2027.5
0.38	3.852e-05	2221.5
0.39	5.425e-05	2418.5
0.4	5.533e-05	2615.9
0.41	4.717e-05	2814.5
0.42	6.518e-05	3010.1
0.43	7.543e-05	3199.9
0.44	7.838e-05	3382.8
0.45	0.0001116	3562.1
0.46	0.00012733	3745.4
0.47	0.00015663	3919.6
0.48	0.00019435	4081.0
0.49	0.00023303	4233.5
0.5	0.00025414	4386.4
0.51	0.00028365	4534.2
0.52	0.00029488	4680.8
0.53	0.00030399	4823.2
0.54	0.00032659	4956.1
0.55	0.00034627	5076.6
0.56	0.00039084	5177.2
0.57	0.00045365	5250.1
0.58	0.0005328	5297.2
0.59	0.00057166	5336.3
0.6	0.00058228	5375.2
0.61	0.00059153	5414.6
0.62	0.00060201	5453.6
0.63	0.00061314	5494.0
0.64	0.0006228	5535.5
0.65	0.00063205	5575.2
0.66	0.00064263	5615.8
0.67	0.00065193	5656.0
0.68	0.00066224	5695.4
0.69	0.00067161	5735.5
0.7	0.00067972	5774.6
0.71	0.00069144	5813.5
0.72	0.00069848	5855.8
0.73	0.00071182	5898.2
0.74	0.00072395	5939.9
0.75	0.00073112	5981.1
0.76	0.00074012	6021.7
0.77	0.00074932	6064.2
0.78	0.00076027	6107.1
0.79	0.00077119	6148.8
0.8	0.00077825	6190.1
0.81	0.00078656	6229.8
0.82	0.00079898	6270.9
0.83	0.00081104	6311.7
0.84	0.00081926	6352.5
0.85	0.00082822	6395.9
0.86	0.00084059	6435.9
0.87	0.00084625	6476.4
0.88	0.00085726	6516.9
0.89	0.00087007	6559.0
0.9	0.00087761	6599.8
0.91	0.00089009	6640.3
0.92	0.0009012	6681.7
0.93	0.00090664	6723.3
0.94	0.00091819	6763.6
0.95	0.00092937	6804.3
0.96	0.00093908	6844.6
0.97	0.00094748	6885.5
0.98	0.0009569	6928.2
0.99	0.00096931	6970.3
1.0	0.00097909	7014.1
