Step;./data/KMnO4-HIGH-CONC.txt;./data/WATER.txt;./data/KMnO4-DILUTED.txt
3,0;0,004765138;0,007845704999999998;0,005242188
8,0;0,004745118;0,007908692999999998;0,005206056
12,0;0,004779542;0,007900392;0,005274659
17,0;0,004885499;0,007975587;0,005180665
23,0;0,004732179;0,007862793999999998;0,005140137
29,0;0,004784913;0,007899415;0,005177491
34,0;0,004661378;0,007754152;0,005082764
40,0;0,004676026;0,007665039999999999;0,004994385
46,0;0,004806642;0,007760744;0,005117921
52,0;0,004656983;0,007536621999999998;0,004979981
58,0;0,00460376;0,007527345;0,005003175
63,0;0,004688966;0,007582275999999998;0,005122071
69,0;0,004506348;0,007492432999999998;0,005130616
75,0;0,004528077;0,007502441999999998;0,005061769
81,0;0,004525392;0,007453126;0,005058838
87,0;0,004463624;0,0074292;0,004938721
92,0;0,00443213;0,007513429;0,004955567
98,0;0,004439942;0,007345461;0,004857667
104,0;0,004428467;0,007270752999999999;0,004826417
110,0;0,004506104;0,007373048;0,004837403
116,0;0,004345216;0,007236328999999999;0,004689454
122,0;0,004385987;0,00712549;0,004720703
127,0;0,004550293;0,007246339;0,004746094
133,0;0,004457032;0,007090333;0,004652589
139,0;0,004431153;0,00709424;0,004806397
145,0;0,004424805;0,00702173;0,004784913
151,0;0,004416749;0,007032716;0,004782471
156,0;0,00456006;0,006973391;0,004983399
162,0;0,004465333;0,006861573;0,004947267
168,0;0,004479493;0,006766114;0,004947022
174,0;0,004621583;0,006930909;0,005039308
180,0;0,004500489;0,006800294;0,005054688
185,0;0,004562745;0,006773927;0,005030274
191,0;0,004701905;0,006896242;0,005220948
197,0;0,004766114;0,006819337;0,005322022
203,0;0,004816163;0,006908205;0,005455566
209,0;0,004897217;0,007009278;0,005570557
215,0;0,004883301;0,006989747;0,005638185
220,0;0,004996338;0,007061036;0,005745118
226,0;0,004903809;0,007187014;0,005845215
232,0;0,004964112;0,007158204;0,005884035
238,0;0,005163575;0,007317139999999998;0,006115724
244,0;0,005089845;0,007369386;0,006098634
249,0;0,005125489;0,007496095;0,006191896
255,0;0,005357422;0,007699952;0,006506104
261,0;0,005358644;0,007835939;0,006632569
267,0;0,005531983;0,008054933;0,006785402
273,0;0,005561036;0,008093506999999998;0,006996583
278,0;0,00557129;0,008116945;0,00694629
284,0;0,005618653;0,008231935;0,007151613
290,0;0,005686036;0,008388184999999998;0,00709961
296,0;0,005675538;0,008478028999999998;0,007283203999999998
302,0;0,00590796;0,008618897;0,007437013999999999
308,0;0,005808839;0,008610598;0,007293458
313,0;0,005813966;0,008669436;0,007388429
319,0;0,006003907;0,008877932;0,007548341
325,0;0,005967531;0,008903321;0,007520265
331,0;0,005971437;0,008896485;0,007552248
337,0;0,006047853;0,00900879;0,007592042999999998
342,0;0,005925294;0,008992188;0,007547364
348,0;0,005958253;0,00899341;0,007496583
354,0;0,005937257;0,008881593;0,00742676
360,0;0,005810304;0,008907717;0,007367677
366,0;0,00595337;0,009020509;0,007463868
371,0;0,005890871;0,008946534;0,00725635
377,0;0,005940187;0,008971925;0,007186769
383,0;0,006045167;0,009035891;0,007364258999999998
389,0;0,005940187;0,008902589;0,007182374
395,0;0,005874269;0,00892676;0,007075196
401,0;0,00579419;0,008949221;0,006972902
406,0;0,005749512;0,008743654;0,00691089
412,0;0,005720215;0,008775147;0,006823487
418,0;0,00547998;0,008596437;0,006649903
424,0;0,005398195;0,008447266999999998;0,00645752
