Wavelength;./data/KMnO4-HIGH-CONC.txt;./data/WATER.txt;./data/KMnO4-DILUTED.txt
1071,8034269338782;0,004765138;0,007845704999999998;0,005242188
1071,229883686442;0,004745118;0,007908692999999998;0,005206056
1070,7708900676923;0,004779542;0,007900392;0,005274659
1070,1969493676147;0,004885499;0,007975587;0,005180665
1069,5079292913176;0,004732179;0,007862793999999998;0,005140137
1068,8185916959949;0,004784913;0,007899415;0,005177491
1068,243901298281;0,004661378;0,007754152;0,005082764
1067,5539821163416;0,004676026;0,007665039999999999;0,004994385
1066,863745995471;0,004806642;0,007760744;0,005117921
1066,1731931405884;0,004656983;0,007536621999999998;0,004979981
1065,4823237567077;0,00460376;0,007527345;0,005003175
1064,9063576251285;0,004688966;0,007582275999999998;0,005122071
1064,2149084708626;0,004506348;0,007492432999999998;0,005130616
1063,5231433689803;0,004528077;0,007502441999999998;0,005061769
1062,831062524856;0,004525392;0,007453126;0,005058838
1062,1386661439558;0,004463624;0,0074292;0,004938721
1061,5614282731349;0,00443213;0,007513429;0,004955567
1060,8684539421017;0,004439942;0,007345461;0,004857667
1060,1751646569585;0,004428467;0,007270752999999999;0,004826417
1059,4815606235318;0,004506104;0,007373048;0,004837403
1058,7876420477407;0,004345216;0,007236328999999999;0,004689454
1058,0934091355984;0,004385987;0,00712549;0,004720703
1057,5146417394594;0,004550293;0,007246339;0,004746094
1056,8198330793768;0,004457032;0,007090333;0,004652589
1056,1247106671524;0,004431153;0,00709424;0,004806397
1055,4292747091563;0,004424805;0,00702173;0,004784913
1054,7335254118518;0,004416749;0,007032716;0,004782471
1054,1534951233664;0,00456006;0,006973391;0,004983399
1053,4571719072032;0,004465333;0,006861573;0,004947267
1052,760535937216;0,004479493;0,006766114;0,004947022
1052,0635874202244;0,004621583;0,006930909;0,005039308
1051,3663265631408;0,004500489;0,006800294;0,005054688
1050,78503740512;0,004562745;0,006773927;0,005030274
1050,0872044622395;0,004701905;0,006896242;0,005220948
