ENLIGHTEN Version,3.2.36
Measurement ID,20260121-152813-261920-WP-01416
Serial Number,WP-01416
Model,WPX-532-R4-EXR-IC
Detector,S11850-1106
Label,CH2Cl2
Declared Match,
Declared Score,0
Scan Averaging,1
Boxcar,1
Technique,
Baseline Correction Algo,
ROI Pixel Start,80
ROI Pixel End,2046
CCD C4,2.7494990333977454e-13
Slit Width,25
Vignetted,True
Interpolated,False
Wavenumber Correction,0
Raman Intensity Corrected,False
Deconvolved,False
Region,
Laser Power mW,
Battery %,
Device ID,<DeviceID USB USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
Integration Time,1000
Timestamp,2026-01-21 15:28:13.261920
Note,
Temperature,9.993813157576085
CCD C0,526.0908203125
CCD C1,0.11147542297840118
CCD C2,4.83367011838709e-06
CCD C3,-3.902286493939755e-09
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,532.1
Laser Enable,False
Laser Power %,100
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed
256,554.88,771.58,1255.67
257,554.99,775.25,1237.33
258,555.11,778.93,1224.67
259,555.22,782.60,1226.00
260,555.33,786.27,1210.33
261,555.45,789.94,1189.33
262,555.56,793.61,1174.00
263,555.67,797.28,1175.00
264,555.79,800.95,1184.00
265,555.90,804.61,1172.00
266,556.01,808.28,1168.33
267,556.13,811.94,1148.67
268,556.24,815.60,1149.33
269,556.35,819.26,1137.33
270,556.47,822.92,1129.67
271,556.58,826.57,1122.00
272,556.69,830.23,1132.67
273,556.81,833.88,1147.33
274,556.92,837.54,1149.33
275,557.03,841.19,1136.67
276,557.15,844.84,1138.67
277,557.26,848.49,1146.33
278,557.37,852.13,1158.33
279,557.49,855.78,1153.00
280,557.60,859.42,1139.00
281,557.71,863.07,1148.00
282,557.83,866.71,1142.33
283,557.94,870.35,1150.00
284,558.05,873.99,1154.33
285,558.17,877.62,1167.00
286,558.28,881.26,1168.00
287,558.39,884.89,1160.00
288,558.51,888.53,1169.00
289,558.62,892.16,1176.67
290,558.73,895.79,1164.33
291,558.85,899.42,1227.00
292,558.96,903.05,1229.67
293,559.07,906.67,1221.00
294,559.19,910.30,1157.00
295,559.30,913.92,1157.67
296,559.41,917.55,1162.67
297,559.53,921.17,1159.00
298,559.64,924.79,1152.67
299,559.75,928.41,1157.00
300,559.87,932.02,1139.00
301,559.98,935.64,1127.67
302,560.09,939.25,1139.67
303,560.21,942.86,1153.67
304,560.32,946.48,1170.67
305,560.43,950.09,1156.33
306,560.55,953.70,1184.33
307,560.66,957.30,1173.67
308,560.77,960.91,1175.33
309,560.89,964.51,1138.00
310,561.00,968.12,1138.00
311,561.11,971.72,1131.33
312,561.23,975.32,1140.00
313,561.34,978.92,1133.00
314,561.45,982.52,1141.00
315,561.57,986.11,1141.00
316,561.68,989.71,1154.33
317,561.79,993.30,1143.00
318,561.91,996.89,1135.00
319,562.02,1000.48,1131.67
320,562.13,1004.07,1136.67
321,562.25,1007.66,1144.67
322,562.36,1011.25,1137.67
323,562.47,1014.83,1130.67
324,562.59,1018.42,1116.33
325,562.70,1022.00,1122.67
326,562.81,1025.58,1143.67
327,562.93,1029.16,1163.33
328,563.04,1032.74,1159.67
329,563.15,1036.32,1164.67
330,563.27,1039.89,1144.33
331,563.38,1043.47,1147.33
332,563.49,1047.04,1132.33
333,563.61,1050.61,1143.67
334,563.72,1054.18,1132.33
335,563.83,1057.75,1130.33
336,563.95,1061.32,1124.67
337,564.06,1064.89,1143.00
338,564.17,1068.45,1158.67
339,564.29,1072.02,1171.33
340,564.40,1075.58,1155.67
341,564.51,1079.14,1142.67
342,564.63,1082.70,1137.00
343,564.74,1086.26,1142.00
344,564.86,1089.81,1154.00
345,564.97,1093.37,1155.33
346,565.08,1096.92,1163.67
347,565.20,1100.47,1152.00
348,565.31,1104.03,1158.67
349,565.42,1107.58,1162.33
350,565.54,1111.12,1178.33
351,565.65,1114.67,1167.67
352,565.76,1118.22,1167.00
353,565.88,1121.76,1167.67
354,565.99,1125.31,1193.00
355,566.10,1128.85,1209.00
356,566.22,1132.39,1224.67
357,566.33,1135.93,1228.00
358,566.44,1139.46,1247.33
359,566.56,1143.00,1269.00
360,566.67,1146.54,1306.33
361,566.78,1150.07,1323.67
362,566.90,1153.60,1328.67
363,567.01,1157.13,1310.33
364,567.12,1160.66,1277.33
365,567.24,1164.19,1242.00
366,567.35,1167.72,1215.33
367,567.47,1171.24,1212.00
368,567.58,1174.77,1193.67
369,567.69,1178.29,1177.67
370,567.81,1181.81,1164.67
371,567.92,1185.33,1164.67
372,568.03,1188.85,1161.67
373,568.15,1192.36,1163.33
374,568.26,1195.88,1162.00
375,568.37,1199.40,1162.67
376,568.49,1202.91,1142.00
377,568.60,1206.42,1148.33
378,568.71,1209.93,1141.33
379,568.83,1213.44,1166.67
380,568.94,1216.95,1164.00
381,569.05,1220.45,1162.00
382,569.17,1223.96,1147.33
383,569.28,1227.46,1146.00
384,569.40,1230.96,1153.00
385,569.51,1234.46,1151.00
386,569.62,1237.96,1138.33
387,569.74,1241.46,1158.00
388,569.85,1244.96,1179.00
389,569.96,1248.45,1198.00
390,570.08,1251.95,1182.67
391,570.19,1255.44,1171.33
392,570.30,1258.93,1187.33
393,570.42,1262.42,1200.00
394,570.53,1265.91,1191.67
395,570.64,1269.40,1167.67
396,570.76,1272.88,1146.33
397,570.87,1276.37,1157.00
398,570.98,1279.85,1141.67
399,571.10,1283.33,1150.33
400,571.21,1286.81,1137.67
401,571.33,1290.29,1144.67
402,571.44,1293.77,1141.67
403,571.55,1297.25,1138.00
404,571.67,1300.72,1145.67
405,571.78,1304.20,1167.67
406,571.89,1307.67,1167.00
407,572.01,1311.14,1167.00
408,572.12,1314.61,1135.33
409,572.23,1318.08,1161.33
410,572.35,1321.54,1155.67
411,572.46,1325.01,1176.00
412,572.57,1328.47,1160.67
413,572.69,1331.94,1161.33
414,572.80,1335.40,1151.33
415,572.91,1338.86,1149.00
416,573.03,1342.32,1154.67
417,573.14,1345.78,1161.00
418,573.26,1349.23,1168.33
419,573.37,1352.69,1176.00
420,573.48,1356.14,1181.00
421,573.60,1359.59,1171.00
422,573.71,1363.04,1164.67
423,573.82,1366.49,1157.67
424,573.94,1369.94,1175.33
425,574.05,1373.39,1181.67
426,574.16,1376.83,1183.67
427,574.28,1380.27,1179.33
428,574.39,1383.72,1188.00
429,574.50,1387.16,1212.67
430,574.62,1390.60,1222.67
431,574.73,1394.04,1246.00
432,574.85,1397.47,1256.00
433,574.96,1400.91,1296.67
434,575.07,1404.34,1339.67
435,575.19,1407.78,1421.33
436,575.30,1411.21,1491.67
437,575.41,1414.64,1553.67
438,575.53,1418.07,1563.33
439,575.64,1421.50,1556.33
440,575.75,1424.92,1475.00
441,575.87,1428.35,1400.33
442,575.98,1431.77,1311.00
443,576.09,1435.19,1290.67
444,576.21,1438.61,1259.33
445,576.32,1442.03,1246.67
446,576.44,1445.45,1229.00
