ENLIGHTEN Version,3.2.36
Measurement ID,20260121-152926-257183-WP-01416
Serial Number,WP-01416
Model,WPX-532-R4-EXR-IC
Detector,S11850-1106
Label,CHCl3
Declared Match,
Declared Score,0
Scan Averaging,1
Boxcar,1
Technique,
Baseline Correction Algo,
ROI Pixel Start,80
ROI Pixel End,2046
CCD C4,2.7494990333977454e-13
Slit Width,25
Vignetted,True
Interpolated,False
Wavenumber Correction,0
Raman Intensity Corrected,False
Deconvolved,False
Region,
Laser Power mW,
Battery %,
Device ID,<DeviceID USB USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
Integration Time,1000
Timestamp,2026-01-21 15:29:26.257183
Note,
Temperature,10.010850297268917
CCD C0,526.0908203125
CCD C1,0.11147542297840118
CCD C2,4.83367011838709e-06
CCD C3,-3.902286493939755e-09
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,532.1
Laser Enable,False
Laser Power %,100
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed
256,554.88,771.58,1546.33
257,554.99,775.25,1466.00
258,555.11,778.93,1387.33
259,555.22,782.60,1333.33
260,555.33,786.27,1271.33
261,555.45,789.94,1217.67
262,555.56,793.61,1176.67
263,555.67,797.28,1164.00
264,555.79,800.95,1165.33
265,555.90,804.61,1145.00
266,556.01,808.28,1136.67
267,556.13,811.94,1122.67
268,556.24,815.60,1119.00
269,556.35,819.26,1109.67
270,556.47,822.92,1097.00
271,556.58,826.57,1085.00
272,556.69,830.23,1085.00
273,556.81,833.88,1092.67
274,556.92,837.54,1100.67
275,557.03,841.19,1095.00
276,557.15,844.84,1098.00
277,557.26,848.49,1106.33
278,557.37,852.13,1110.00
279,557.49,855.78,1099.33
280,557.60,859.42,1089.33
281,557.71,863.07,1094.00
282,557.83,866.71,1094.67
283,557.94,870.35,1092.67
284,558.05,873.99,1096.33
285,558.17,877.62,1097.67
286,558.28,881.26,1100.67
287,558.39,884.89,1090.67
288,558.51,888.53,1099.33
289,558.62,892.16,1095.00
290,558.73,895.79,1089.67
291,558.85,899.42,1136.67
292,558.96,903.05,1145.67
293,559.07,906.67,1135.00
294,559.19,910.30,1092.33
295,559.30,913.92,1099.67
296,559.41,917.55,1107.33
297,559.53,921.17,1104.33
298,559.64,924.79,1095.00
299,559.75,928.41,1099.33
300,559.87,932.02,1089.67
301,559.98,935.64,1085.33
302,560.09,939.25,1095.00
303,560.21,942.86,1110.33
304,560.32,946.48,1123.33
305,560.43,950.09,1114.33
306,560.55,953.70,1139.00
307,560.66,957.30,1127.00
308,560.77,960.91,1132.67
309,560.89,964.51,1089.67
310,561.00,968.12,1091.00
311,561.11,971.72,1076.67
312,561.23,975.32,1086.67
313,561.34,978.92,1084.33
314,561.45,982.52,1089.33
315,561.57,986.11,1084.33
316,561.68,989.71,1095.00
317,561.79,993.30,1097.33
318,561.91,996.89,1101.00
319,562.02,1000.48,1099.67
320,562.13,1004.07,1098.00
321,562.25,1007.66,1100.00
322,562.36,1011.25,1091.67
323,562.47,1014.83,1082.00
324,562.59,1018.42,1079.67
325,562.70,1022.00,1081.67
326,562.81,1025.58,1103.33
327,562.93,1029.16,1112.67
328,563.04,1032.74,1110.67
329,563.15,1036.32,1115.00
330,563.27,1039.89,1095.33
331,563.38,1043.47,1100.67
332,563.49,1047.04,1082.33
333,563.61,1050.61,1093.67
334,563.72,1054.18,1086.00
335,563.83,1057.75,1091.00
336,563.95,1061.32,1079.00
337,564.06,1064.89,1094.67
338,564.17,1068.45,1110.00
339,564.29,1072.02,1133.00
340,564.40,1075.58,1114.67
341,564.51,1079.14,1103.67
342,564.63,1082.70,1092.67
343,564.74,1086.26,1097.33
344,564.86,1089.81,1107.00
345,564.97,1093.37,1099.67
346,565.08,1096.92,1098.33
347,565.20,1100.47,1080.67
348,565.31,1104.03,1102.00
349,565.42,1107.58,1102.67
350,565.54,1111.12,1114.67
351,565.65,1114.67,1099.00
352,565.76,1118.22,1111.67
353,565.88,1121.76,1110.33
354,565.99,1125.31,1129.33
355,566.10,1128.85,1132.33
356,566.22,1132.39,1131.00
357,566.33,1135.93,1107.33
358,566.44,1139.46,1100.33
359,566.56,1143.00,1093.33
360,566.67,1146.54,1102.33
361,566.78,1150.07,1097.33
362,566.90,1153.60,1106.33
363,567.01,1157.13,1113.33
364,567.12,1160.66,1117.67
365,567.24,1164.19,1122.67
366,567.35,1167.72,1120.00
367,567.47,1171.24,1128.33
368,567.58,1174.77,1127.67
369,567.69,1178.29,1127.00
370,567.81,1181.81,1138.33
371,567.92,1185.33,1146.67
372,568.03,1188.85,1160.67
373,568.15,1192.36,1187.33
374,568.26,1195.88,1228.33
375,568.37,1199.40,1290.33
376,568.49,1202.91,1328.33
377,568.60,1206.42,1387.33
378,568.71,1209.93,1411.33
379,568.83,1213.44,1437.33
380,568.94,1216.95,1398.00
381,569.05,1220.45,1341.00
382,569.17,1223.96,1257.33
383,569.28,1227.46,1208.00
384,569.40,1230.96,1172.00
385,569.51,1234.46,1161.33
386,569.62,1237.96,1134.67
387,569.74,1241.46,1141.00
388,569.85,1244.96,1145.33
389,569.96,1248.45,1156.33
390,570.08,1251.95,1145.67
391,570.19,1255.44,1126.00
392,570.30,1258.93,1127.67
393,570.42,1262.42,1128.33
394,570.53,1265.91,1120.33
395,570.64,1269.40,1107.00
396,570.76,1272.88,1095.67
397,570.87,1276.37,1107.00
398,570.98,1279.85,1090.00
399,571.10,1283.33,1087.33
400,571.21,1286.81,1079.67
401,571.33,1290.29,1089.33
402,571.44,1293.77,1084.33
403,571.55,1297.25,1080.00
404,571.67,1300.72,1086.33
405,571.78,1304.20,1114.67
406,571.89,1307.67,1110.00
407,572.01,1311.14,1104.67
408,572.12,1314.61,1078.33
409,572.23,1318.08,1106.33
410,572.35,1321.54,1109.00
411,572.46,1325.01,1126.00
412,572.57,1328.47,1109.00
413,572.69,1331.94,1107.00
414,572.80,1335.40,1090.00
415,572.91,1338.86,1084.33
416,573.03,1342.32,1078.67
417,573.14,1345.78,1086.00
418,573.26,1349.23,1096.00
419,573.37,1352.69,1106.33
420,573.48,1356.14,1105.67
421,573.60,1359.59,1083.33
422,573.71,1363.04,1068.67
423,573.82,1366.49,1065.67
424,573.94,1369.94,1084.67
425,574.05,1373.39,1089.67
426,574.16,1376.83,1089.67
427,574.28,1380.27,1088.00
428,574.39,1383.72,1097.00
429,574.50,1387.16,1103.33
430,574.62,1390.60,1088.00
431,574.73,1394.04,1093.67
432,574.85,1397.47,1076.00
433,574.96,1400.91,1097.00
434,575.07,1404.34,1081.67
435,575.19,1407.78,1098.00
436,575.30,1411.21,1083.33
437,575.41,1414.64,1088.00
438,575.53,1418.07,1086.00
439,575.64,1421.50,1105.00
440,575.75,1424.92,1096.67
441,575.87,1428.35,1099.33
442,575.98,1431.77,1079.00
443,576.09,1435.19,1098.00
444,576.21,1438.61,1095.33
445,576.32,1442.03,1102.33
446,576.44,1445.45,1102.33
447,576.55,1448.87,1099.33
448,576.66,1452.28,1121.67
449,576.78,1455.70,1132.33
450,576.89,1459.11,1144.33
451,577.00,1462.52,1131.00
452,577.12,1465.93,1131.00
453,577.23,1469.34,1131.67
454,577.34,1472.75,1146.67
455,577.46,1476.15,1143.67
456,577.57,1479.56,1156.33
457,577.68,1482.96,1152.67
458,577.80,1486.36,1165.67
459,577.91,1489.76,1154.33
460,578.02,1493.16,1157.00
461,578.14,1496.56,1150.67
462,578.25,1499.96,1157.67
463,578.37,1503.35,1160.00
464,578.48,1506.75,1161.33
465,578.59,1510.14,1160.67
466,578.71,1513.53,1154.33
467,578.82,1516.92,1159.33
468,578.93,1520.31,1156.00
469,579.05,1523.70,1154.00
470,579.16,1527.08,1131.33
471,579.27,1530.47,1125.00
472,579.39,1533.85,1118.33
473,579.50,1537.23,1121.00
474,579.61,1540.61,1125.00
475,579.73,1543.99,1126.00
476,579.84,1547.37,1114.67
477,579.96,1550.75,1115.33
478,580.07,1554.12,1105.33
479,580.18,1557.49,1116.00
480,580.30,1560.87,1109.67
481,580.41,1564.24,1121.00
482,580.52,1567.61,1115.33
483,580.64,1570.98,1107.00
484,580.75,1574.34,1097.67
485,580.86,1577.71,1101.33
486,580.98,1581.07,1095.00
487,581.09,1584.44,1092.33
488,581.20,1587.80,1116.33
489,581.32,1591.16,1117.00
490,581.43,1594.52,1131.00
491,581.54,1597.87,1107.67
492,581.66,1601.23,1114.00
493,581.77,1604.59,1110.67
494,581.89,1607.94,1103.00
