TITLE	
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/11/19
TIME	12:51:05
SPECTROMETER/DATA SYSTEM	
LOCALE	2057
RESOLUTION	
DELTAX	-0.2
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  900.0000
LASTX	  200.0000
NPOINTS	    3501
FIRSTY	    -0.00292
MAXY	     2.34215
MINY	    -0.00739
XYDATA
850.4000	-0.00702067
850.2000	-0.007232
850.0000	-0.00652061
849.8000	-0.00620605
849.6000	-0.00655506
849.4000	-0.00655643
849.2000	-0.00673486
849.0000	-0.00660038
848.8000	-0.00639743
848.6000	-0.00660323
848.4000	-0.00655198
848.2000	-0.00644886
848.0000	-0.00607372
847.8000	-0.00620213
847.6000	-0.00697707
847.4000	-0.00681748
847.2000	-0.00631303
847.0000	-0.00663994
846.8000	-0.00653897
846.6000	-0.00622286
846.4000	-0.00647743
846.2000	-0.00664944
846.0000	-0.00668437
845.8000	-0.00645837
845.6000	-0.00612468
845.4000	-0.00625292
845.2000	-0.0063565
845.0000	-0.00690265
844.8000	-0.00723194
844.6000	-0.00674988
844.4000	-0.0067604
844.2000	-0.00672137
844.0000	-0.00713798
843.8000	-0.00729645
843.6000	-0.00661796
843.4000	-0.0065259
843.2000	-0.00651212
843.0000	-0.00654218
842.8000	-0.00702625
842.6000	-0.00720901
842.4000	-0.00703552
842.2000	-0.00631825
842.0000	-0.00630851
841.8000	-0.00672369
841.6000	-0.00642297
841.4000	-0.00647821
841.2000	-0.0065335
841.0000	-0.00638828
840.8000	-0.00658696
840.6000	-0.00701117
840.4000	-0.00717314
840.2000	-0.00697886
840.0000	-0.00682389
839.8000	-0.00652935
839.6000	-0.00661802
839.4000	-0.00675238
839.2000	-0.00640105
839.0000	-0.0065926
838.8000	-0.00683725
838.6000	-0.00668092
838.4000	-0.00626848
838.2000	-0.00634849
838.0000	-0.00717605
837.8000	-0.0070193
837.6000	-0.00653808
837.4000	-0.0065755
837.2000	-0.0069646
837.0000	-0.00721893
836.8000	-0.00704015
836.6000	-0.00691269
836.4000	-0.00676788
836.2000	-0.00687628
836.0000	-0.00679823
835.8000	-0.00643259
835.6000	-0.00639173
835.4000	-0.0068875
835.2000	-0.00677572
835.0000	-0.00660882
834.8000	-0.00667261
834.6000	-0.00638145
834.4000	-0.00649157
834.2000	-0.00664796
834.0000	-0.0063868
833.8000	-0.00674115
833.6000	-0.00709747
833.4000	-0.00685935
833.2000	-0.00695937
