289.99	-333.33
290.01	-330.66
290.04	-180.66
290.06	-120.00
290.09	-92.00
290.11	-132.67
290.14	-110.00
290.16	-158.00
290.18	-158.66
290.21	-157.33
290.23	-213.33
290.26	-254.67
290.28	-164.00
290.31	-174.00
290.33	-195.33
290.35	-152.00
290.38	-226.00
290.40	-250.00
290.43	-265.33
290.45	-289.34
290.48	-173.33
290.50	-166.67
290.53	-112.00
290.55	-158.66
290.57	-185.33
290.60	-98.66
290.62	-222.67
290.65	-224.67
290.67	-144.00
290.70	-218.00
290.72	-348.00
290.75	-272.67
290.77	-305.33
290.79	-317.33
290.82	-346.67
290.84	-282.67
290.87	-266.00
290.89	-256.67
290.92	-181.34
290.94	-188.00
290.96	-191.34
290.99	-236.67
291.01	-164.67
291.04	-98.66
291.06	-64.67
291.09	-148.00
291.11	-118.00
291.14	-90.66
291.16	-93.33
291.18	-208.66
291.21	-159.34
291.23	-113.33
291.26	-121.34
291.28	-201.34
291.31	-190.66
291.33	-98.66
291.35	-122.00
291.38	-142.00
291.40	-54.00
291.43	-106.00
291.45	-141.34
291.48	-120.00
291.50	-191.34
291.53	-203.33
291.55	-197.33
291.57	-236.67
291.60	-124.67
291.62	-80.66
291.65	-222.67
291.67	-256.67
291.70	-111.34
291.72	-196.67
291.75	-246.00
291.77	-206.67
291.79	-153.33
291.82	-296.67
291.84	-344.67
291.87	-341.34
291.89	-188.00
291.92	-248.66
291.94	-244.00
291.96	-329.34
291.99	-279.34
292.01	-276.00
292.04	-193.33
292.06	-122.67
292.09	-136.67
292.11	-212.00
292.14	-259.34
292.16	-160.66
292.18	-211.34
292.21	-264.67
292.23	-261.34
292.26	-217.33
292.28	-159.34
292.31	-140.66
292.33	-204.00
292.36	-141.34
292.38	-207.33
292.40	-102.67
292.43	-140.00
292.45	-148.00
292.48	-264.67
292.50	-215.33
292.53	-201.34
292.55	-296.00
292.57	-264.67
292.60	-192.00
292.62	-72.00
292.65	-48.66
292.67	-170.66
292.70	-162.00
292.72	-120.66
292.75	-215.33
292.77	-221.34
292.79	-294.67
292.82	-271.34
292.84	-276.00
292.87	-306.00
292.89	-298.66
292.92	-176.00
292.94	-146.67
292.97	-86.67
292.99	-80.00
293.01	-226.67
293.04	-332.67
293.06	-277.33
293.09	-123.33
293.11	-264.00
293.14	-226.67
293.16	-156.67
293.18	-314.67
293.21	-290.00
293.23	-297.33
293.26	-243.33
293.28	-204.67
293.31	-256.00
293.33	-165.33
293.36	-174.00
293.38	-158.66
293.40	-188.66
293.43	-241.34
293.45	-198.00
293.48	-206.00
293.50	-172.67
293.53	-172.00
293.55	-170.66
293.57	-254.67
293.60	-260.00
293.62	-221.34
293.65	-257.33
293.67	-306.00
293.70	-249.34
293.72	-162.00
293.75	-162.00
293.77	-202.67
293.79	-177.33
293.82	-250.66
293.84	-293.33
293.87	-210.00
293.89	-243.33
293.92	-142.00
293.94	-198.00
293.97	-196.00
293.99	-179.34
294.01	-240.00
294.04	-254.00
294.06	-214.00
294.09	-276.00
294.11	-234.67
294.14	-212.67
294.16	-226.67
294.18	-236.67
294.21	-281.34
294.23	-274.00
294.26	-269.34
294.28	-107.33
294.31	-121.34
294.33	-209.34
294.36	-94.67
294.38	-146.00
294.40	-148.66
294.43	-180.66
294.45	-164.67
294.48	-274.67
294.50	-370.00
294.53	-344.00
294.55	-279.34
294.58	-340.00
294.60	-230.00
294.62	-268.66
294.65	-210.00
294.67	-300.00
294.70	-316.00
294.72	-215.33
294.75	-139.34
294.77	-298.66
294.79	-276.67
294.82	-158.00
294.84	-123.33
294.87	-224.67
294.89	-177.33
294.92	-136.00
294.94	-194.00
294.97	-223.33
294.99	-191.34
295.01	-252.00
295.04	-272.67
295.06	-235.33
295.09	-173.33
295.11	-223.33
295.14	-193.33
295.16	-191.34
295.18	-248.66
295.21	-120.00
295.23	-217.33
295.26	-274.00
295.28	-242.00
295.31	-212.67
295.33	-278.00
295.36	-249.34
295.38	-159.34
295.40	-156.67
295.43	-170.66
295.45	-194.00
295.48	-140.66
295.50	-167.33
295.53	-149.34
295.55	-55.33
295.58	-122.00
295.60	-184.00
295.62	-162.67
295.65	-196.67
295.67	-74.67
295.70	-126.67
295.72	-119.34
295.75	-53.33
295.77	-153.33
295.79	-187.33
295.82	-213.33
295.84	-143.33
295.87	-149.34
295.89	-208.00
295.92	-140.00
295.94	-131.34
295.97	-222.00
295.99	-226.67
296.01	-270.00
296.04	-94.67
296.06	-110.00
296.09	-69.34
296.11	-91.34
296.14	-56.00
296.16	-192.00
296.19	-190.00
296.21	-122.00
296.23	-93.33
296.26	-58.66
296.28	-63.33
296.31	-198.00
296.33	-176.67
296.36	-119.34
296.38	-268.66
296.40	-268.66
296.43	-240.00
296.45	-255.33
296.48	-265.33
296.50	-230.00
296.53	-317.33
296.55	-268.66
296.58	-160.00
296.60	-215.33
296.62	-295.33
296.65	-188.66
296.67	-239.34
296.70	-142.00
296.72	-88.00
296.75	-110.00
296.77	-153.33
296.80	-238.00
296.82	-311.34
296.84	-292.67
296.87	-123.33
296.89	-127.33
296.92	-121.34
296.94	-92.00
296.97	-150.66
296.99	-175.33
297.01	-189.34
297.04	-130.00
297.06	-116.00
297.09	-165.33
297.11	-204.67
297.14	-202.67
297.16	-191.34
297.19	-204.67
297.21	-211.34
297.23	-198.66
297.26	-220.00
297.28	-239.34
297.31	-150.66
297.33	-128.66
297.36	-224.00
297.38	-175.33
297.40	-143.33
297.43	-186.67
297.45	-252.00
297.48	-268.66
297.50	-242.00
297.53	-166.00
297.55	-146.00
