Step;C:\Users\49157\OneDrive\Desktop\Protokolle\PC2\Opt\Chloro\chloro_1.txt;C:\Users\49157\OneDrive\Desktop\Protokolle\PC2\Opt\Chloro\chloro_2.txt;C:\Users\49157\OneDrive\Desktop\Protokolle\PC2\Opt\Chloro\chloro_3.txt;C:\Users\49157\OneDrive\Desktop\Protokolle\PC2\Opt\Chloro\chloro_4.txt;C:\Users\49157\OneDrive\Desktop\Protokolle\PC2\Opt\Chloro\chloro_5.txt
3,0;0,001657471;0,0016357426;0,001625733;0,00165625;0,0016536626
8,0;0,001667725;0,0016479495999999999;0,001656494;0,001635498;0,0016446296
12,0;0,001656983;0,00164947525;0,00164087;0,001632813;0,00165252725
17,0;0,001645996;0,001654834;0,001634278;0,001635498;0,001652442
23,0;0,001646241;0,0016597091666666667;0,001660889;0,00163086;0,0016530361666666667
29,0;0,001636475;0,0016394451666666668;0,00162085;0,001629395;0,0016287035
34,0;0,001644532;0,0016231444;0,001659424;0,001615479;0,0016462408
40,0;0,001642579;0,0016418869999999999;0,001636963;0,001658204;0,0016412768333333334
46,0;0,001665772;0,0016201985;0,00163794;0,001626221;0,0016416018333333332
52,0;0,001657227;0,0016385908333333332;0,001641358;0,001636719;0,0016516525000000002
58,0;0,001677491;0,0016510418333333333;0,001646241;0,00163086;0,0016346441666666668
63,0;0,001668701;0,0016643072;0,001610108;0,001654786;0,001639844
69,0;0,001665283;0,0016536053333333334;0,001628174;0,001629883;0,001657145
75,0;0,001643067;0,0016514898333333332;0,001621094;0,001661865;0,0016632085
81,0;0,001633789;0,0016528328333333332;0,001645752;0,00163086;0,0016471356666666666
87,0;0,001641846;0,001653077;0,001672608;0,001642823;0,0016551923333333334
92,0;0,001668946;0,0016356938;0,001654541;0,001648194;0,0016576662
98,0;0,001649414;0,0016376546666666666;0,001647705;0,001637696;0,001645915
104,0;0,001637207;0,0016470543333333334;0,001636719;0,00164209;0,0016675625
110,0;0,001682861;0,0016555995;0,001625733;0,001639893;0,001659139
116,0;0,001666504;0,0016449796666666665;0,00164087;0,001629639;0,001636149
122,0;0,001657227;0,001631389;0,001624024;0,001631104;0,0016416425000000002
127,0;0,001657471;0,0016236822;0,001636475;0,001647461;0,0016375006
133,0;0,001668946;0,0016591391666666668;0,001654541;0,001644287;0,0016215420000000001
139,0;0,001648682;0,0016384281666666667;0,001636719;0,001652588;0,0016522221666666666
145,0;0,00165503;0,0016574305;0,001624756;0,001657715;0,0016558843333333334
151,0;0,001671631;0,0016424156666666667;0,001654297;0,001663575;0,0016593423333333334
156,0;0,001654786;0,0016298343999999998;0,001643555;0,001641114;0,0016496096
162,0;0,001654297;0,001636841;0,001662598;0,001641114;0,0016439213333333332
168,0;0,001655274;0,0016423345;0,001648682;0,001660156;0,0016547043333333333
174,0;0,001639405;0,0016426603333333334;0,001654786;0,001637452;0,0016250413333333334
180,0;0,001659424;0,0016482748333333335;0,001639161;0,001646973;0,0016418463333333333
185,0;0,001658204;0,0016367188;0,001644287;0,001657471;0,001660157
191,0;0,001631592;0,0016406658333333332;0,001663819;0,001640381;0,0016326499999999998
197,0;0,001689942;0,0016695558333333334;0,001667725;0,001641846;0,001649455
203,0;0,001658692;0,0016410731666666669;0,001625;0,001653077;0,0016265871666666667
209,0;0,001662354;0,0016619471666666666;0,001632325;0,001651368;0,0016377773333333334
215,0;0,001667969;0,0016668701666666666;0,001661865;0,001653321;0,0016402998333333333
220,0;0,001650147;0,0016421392;0,001632569;0,001639649;0,0016530274
226,0;0,001674805;0,0016298828333333334;0,00163794;0,001658936;0,0016446533333333334
232,0;0,001639649;0,0016587728333333333;0,001634034;0,001635742;0,0016537273333333334
238,0;0,001626221;0,0016540125;0,001629395;0,001646485;0,0016492918333333333
244,0;0,001636963;0,0016384276666666666;0,001650391;0,001660645;0,0016497806666666667
249,0;0,001652344;0,001636914;0,001632813;0,001664307;0,0016616702
255,0;0,001648194;0,001639242;0,001650147;0,001644287;0,001646851
261,0;0,001650879;0,0016726081666666667;0,001660645;0,001650391;0,0016614176666666669
267,0;0,001661621;0,001642985;0,001644532;0,001659912;0,0016717531666666668
273,0;0,00165625;0,0016530353333333333;0,001647461;0,00163794;0,0016480718333333334
278,0;0,001663086;0,001649984;0,0016521;0,0016578775;0,0016412763333333333
284,0;0,001656494;0,001652393;0,001634766;0,001614746;0,0016513186
290,0;0,001655762;0,0016590981666666667;0,001626954;0,001640625;0,0016650396666666666
296,0;0,001652588;0,0016204835;0,001638672;0,00164502;0,001650147
302,0;0,001662598;0,001647339;0,001632813;0,001644287;0,0016560873333333335
308,0;0,0016521;0,0016388345;0,001623047;0,001630372;0,001639649
313,0;0,001687989;0,0016320316;0,001650879;0,001641602;0,0016486822
319,0;0,001645264;0,0016359865;0,00163208;0,001654053;0,0016500251666666666
325,0;0,001646485;0,0016353354999999999;0,001654053;0,001649903;0,0016317548333333333
331,0;0,00164209;0,0016439616666666665;0,001628662;0,001636231;0,0016499431666666666
337,0;0,001667481;0,0016412761666666667;0,001624756;0,001656006;0,0016473795
342,0;0,001671875;0,0016458498;0,001646973;0,001646241;0,00162334
348,0;0,001675537;0,0016386719999999999;0,001632569;0,001638672;0,0016591801666666667
354,0;0,001678955;0,0016591396666666668;0,001633545;0,001638916;0,0016613768333333333
360,0;0,001636719;0,0016426191666666667;0,001625977;0,001641114;0,0016554768333333335
366,0;0,001641114;0,0016465663333333333;0,001635498;0,001633545;0,001657186
372,0;0,001666993;0,001654094;0,001622071;0,001632569;0,0016687016666666666
