Wavelength;C:\Users\49157\OneDrive\Desktop\Protokolle\PC2\Opt\data\filter.txt
1071,6887359584148;0,006524659
1071,1151485306495;0,006427979
1070,6561195846673;0,00647046
1070,0821347468466;0,006354494
1069,3930617365036;0,006372804
1068,8185916959949;0,006364503
1068,1289367862994;0,006166749
1067,4389647669782;0,006218507
1066,7486758428722;0,006287355
1066,0580702189175;0,006113771
1065,3671481001427;0,006107423
1064,7911380489372;0,006154298
1064,099636222477;0,006122072
1063,4078184826233;0,006194338
1062,7156850347649;0,00609839
1062,023236084385;0,006060792
1061,445954431841;0,006188722
1060,7529275941667;0,005948976
1060,0595858366805;0,005931397
1059,365929365224;0,006030274
1058,6719583857323;0,00593628
1057,9776731042334;0,005797608
1057,3988620932105;0,005727052
1056,704001126777;0,005731935
1056,0088264425904;0,00577295
1055,3133382470357;0,005705323
1054,6175367465928;0,005611818
1054,0374629817954;0,005770997
1053,3410876256364;0,00565918
1052,644399550117;0,005646241
1051,9473989620722;0,005742921
1051,2500860684297;0,005565919
1050,6687535729707;0,005744386
1049,970868656811;0,005837647
1049,2726720218527;0,005812989
1048,574163875378;0,00598755
1047,8753444247632;0,005848877
1047,1762138774757;0,005999024
1046,5933675945193;0,006171388
1045,8936672424786;0,006190675
1045,1936563820918;0,006202882
1044,493335221181;0,006410402
1043,792703967659;0,006449464
1043,2086078634873;0,006624513
1042,5074086471493;0,006935792
1041,805899927789;0,006953371
1041,1040819136729;0,007276857
1040,4019548131585;0,007392091
1039,8166129387814;0,007488527
1039,1139197213272;0,007694337
1038,4109180083208;0,00753467
1037,7076080084719;0,007798097
1037,0039899305812;0,008058107
1036,3000639835411;0,00804297
1035,7132240006208;0,008127442
1035,0087341696506;0,008315675999999998
1034,3039370618892;0,008370852
1033,598832886579;0,008470949
1032,8934218530535;0,008459229
1032,3053450706218;0,008461671
1031,5993720076908;0,008490235
1030,8930926801509;0,008513916999999998
1030,186507297685;0,008553468
1029,4796160700664;0,008640626
1028,8903065667414;0,008665773
